x,y,z,sx,sy,sz
62.0,147.0,0.0,0.877138622139,-0.323959027985,-0.354511474762
62.0,148.0,0.0,0.852031872309,-0.33970265714,-0.398301133945
62.0,149.0,0.0,0.825605535306,-0.354666983475,-0.438847161213
62.0,150.0,0.0,0.798314131519,-0.368909066627,-0.476025890029
62.0,151.0,0.0,0.770596186561,-0.382526276944,-0.509759908884
62.0,152.0,0.0,0.742862615736,-0.395653098804,-0.540012740173
62.0,153.0,0.0,0.71548652502,-0.40845642045,-0.566782484827
62.0,154.0,0.0,0.688794680163,-0.421129475073,-0.590094783746
62.0,155.0,0.0,0.663060829046,-0.433884644921,-0.609995452349
62.0,156.0,0.0,0.638500995803,-0.446945378851,-0.62654314032
62.0,157.0,0.0,0.615270798908,-0.460537503005,-0.639802354119
62.0,158.0,0.0,0.593464781063,-0.474880223722,-0.649837154028
62.0,159.0,0.0,0.573117677788,-0.490177131577,-0.656705799491
62.0,160.0,0.0,0.554207496026,-0.506607515962,-0.660456566414
62.0,161.0,0.0,0.536660224957,-0.524318291465,-0.66112489908
62.0,162.0,0.0,0.520355959446,-0.543416820771,-0.65873198979
62.0,163.0,0.0,0.505136182221,-0.563964893696,-0.653284804729
62.0,164.0,0.0,0.49081192405,-0.585974087866,-0.644777499267
62.0,165.0,0.0,0.477172502055,-0.609402692775,-0.633194094509
62.0,166.0,0.0,0.463994525347,-0.63415432558,-0.618512224452
62.0,167.0,0.0,0.451050855545,-0.660078304742,-0.600707713719
62.0,168.0,0.0,0.438119218731,-0.686971779095,-0.579759713076
62.0,169.0,0.0,0.424990186163,-0.714583538796,-0.555656105651
62.0,170.0,0.0,0.411474274072,-0.74261936622,-0.528398901107
62.0,171.0,0.0,0.397407957337,-0.770748724684,-0.498009356181
62.0,172.0,0.0,0.382658445543,-0.79861253617,-0.464532594256
62.0,173.0,0.0,0.367127129354,-0.825831769586,-0.428041539146
62.0,174.0,0.0,0.350751665717,-0.852016549809,-0.388640023477
62.0,175.0,0.0,0.333506727553,-0.876775503697,-0.346464974844
62.0,176.0,0.0,0.315403493018,-0.899725078456,-0.301687619551
62.0,177.0,0.0,0.296487988418,-0.920498595017,-0.25451367212
62.0,178.0,0.0,0.276838426122,-0.938754828371,-0.205182499332
62.0,179.0,0.0,0.256561694984,-0.95418593295,-0.153965262406
62.0,180.0,0.0,0.235789167804,-0.966524550729,-0.10116205407
62.0,181.0,0.0,0.214671991134,-0.975549951929,-0.047098062734
63.0,140.0,0.0,0.981127350489,-0.182960343808,-0.06256704177
63.0,141.0,0.0,0.971590785334,-0.2013612013,-0.124358403275
63.0,142.0,0.0,0.957973170469,-0.21942123715,-0.184774796302
63.0,143.0,0.0,0.940553252448,-0.236944589423,-0.24334510649
63.0,144.0,0.0,0.919685359019,-0.253759693728,-0.299641215865
63.0,145.0,0.0,0.895787872168,-0.269727052218,-0.353286576845
63.0,146.0,0.0,0.869329781571,-0.284745893093,-0.403962259673
63.0,147.0,0.0,0.840815952587,-0.298759416017,-0.451410395556
63.0,148.0,0.0,0.810771729234,-0.311758387388,-0.495435072405
63.0,149.0,0.0,0.779727454253,-0.323782922592,-0.53590084542
63.0,150.0,0.0,0.748203436303,-0.33492236763,-0.572729103125
63.0,151.0,0.0,0.716695835763,-0.345313267946,-0.605892586174
63.0,152.0,0.0,0.685663878721,-0.355135486,-0.635408397805
63.0,153.0,0.0,0.655518743477,-0.364606598882,-0.661329876085
63.0,154.0,0.0,0.626614394568,-0.373974770242,-0.683737721457
63.0,155.0,0.0,0.599240565067,-0.383510344303,-0.702730788418
63.0,156.0,0.0,0.573618009854,-0.393496451488,-0.718416955144
63.0,157.0,0.0,0.549896073184,-0.404218944144,-0.730904476585
63.0,158.0,0.0,0.528152536947,-0.415955997376,-0.740294202303
63.0,159.0,0.0,0.508395645461,-0.428967715472,-0.746672998547
63.0,160.0,0.0,0.490568141448,-0.443486081238,-0.750108655026
63.0,161.0,0.0,0.474553097509,-0.459705575519,-0.750646482361
63.0,162.0,0.0,0.460181287701,-0.477774778647,-0.748307719684
63.0,163.0,0.0,0.44723981325,-0.497789243928,-0.743089777937
63.0,164.0,0.0,0.435481673009,-0.519785904098,-0.734968248548
